rownames,time,value
1,1959,315.42
2,1959.08333333334,316.31
3,1959.16666666668,316.5
4,1959.25000000002,317.56
5,1959.33333333336,318.13
6,1959.4166666667,318
7,1959.50000000004,316.39
8,1959.58333333338,314.65
9,1959.66666666672,313.68
10,1959.75000000006,313.18
11,1959.8333333334,314.66
12,1959.91666666675,315.43
13,1960,316.27
14,1960.08333333343,316.81
15,1960.16666666677,317.42
16,1960.25000000011,318.87
17,1960.33333333345,319.87
18,1960.41666666679,319.43
19,1960.50000000013,318.01
20,1960.58333333347,315.74
21,1960.66666666681,314
22,1960.75000000015,313.68
23,1960.83333333349,314.84
24,1960.91666666683,316.03
25,1961,316.73
26,1961.08333333351,317.54
27,1961.16666666685,318.38
28,1961.25000000019,319.31
29,1961.33333333353,320.42
30,1961.41666666687,319.61
31,1961.50000000021,318.42
32,1961.58333333355,316.63
33,1961.6666666669,314.83
34,1961.75000000024,315.16
35,1961.83333333358,315.94
36,1961.91666666692,316.85
37,1962,317.78
38,1962.0833333336,318.4
39,1962.16666666694,319.53
40,1962.25000000028,320.42
41,1962.33333333362,320.85
42,1962.41666666696,320.45
43,1962.5000000003,319.45
44,1962.58333333364,317.25
45,1962.66666666698,316.11
46,1962.75000000032,315.27
47,1962.83333333366,316.53
48,1962.916666667,317.53
49,1963,318.58
50,1963.08333333368,318.92
51,1963.16666666702,319.7
52,1963.25000000036,321.22
53,1963.3333333337,322.08
54,1963.41666666704,321.31
55,1963.50000000039,319.58
56,1963.58333333373,317.61
57,1963.66666666707,316.05
58,1963.75000000041,315.83
59,1963.83333333375,316.91
60,1963.91666666709,318.2
61,1964,319.41
62,1964.08333333377,320.07
63,1964.16666666711,320.74
64,1964.25000000045,321.4
65,1964.33333333379,322.06
66,1964.41666666713,321.73
67,1964.50000000047,320.27
68,1964.58333333381,318.54
69,1964.66666666715,316.54
70,1964.75000000049,316.71
71,1964.83333333383,317.53
72,1964.91666666717,318.55
73,1965,319.27
74,1965.08333333385,320.28
75,1965.16666666719,320.73
76,1965.25000000054,321.97
77,1965.33333333388,322
78,1965.41666666722,321.71
79,1965.50000000056,321.05
80,1965.5833333339,318.71
81,1965.66666666724,317.66
82,1965.75000000058,317.14
83,1965.83333333392,318.7
84,1965.91666666726,319.25
85,1966,320.46
86,1966.08333333394,321.43
87,1966.16666666728,322.23
88,1966.25000000062,323.54
89,1966.33333333396,323.91
90,1966.4166666673,323.59
91,1966.50000000064,322.24
92,1966.58333333398,320.2
93,1966.66666666732,318.48
94,1966.75000000066,317.94
95,1966.833333334,319.63
96,1966.91666666734,320.87
97,1967,322.17
98,1967.08333333403,322.34
99,1967.16666666737,322.88
100,1967.25000000071,324.25
101,1967.33333333405,324.83
102,1967.41666666739,323.93
103,1967.50000000073,322.38
104,1967.58333333407,320.76
105,1967.66666666741,319.1
106,1967.75000000075,319.24
107,1967.83333333409,320.56
108,1967.91666666743,321.8
109,1968,322.4
110,1968.08333333411,322.99
111,1968.16666666745,323.73
112,1968.25000000079,324.86
113,1968.33333333413,325.4
114,1968.41666666747,325.2
115,1968.50000000081,323.98
116,1968.58333333415,321.95
117,1968.66666666749,320.18
118,1968.75000000084,320.09
119,1968.83333333418,321.16
120,1968.91666666752,322.74
121,1969,323.83
122,1969.0833333342,324.26
123,1969.16666666754,325.47
124,1969.25000000088,326.5
125,1969.33333333422,327.21
126,1969.41666666756,326.54
127,1969.5000000009,325.72
128,1969.58333333424,323.5
129,1969.66666666758,322.22
130,1969.75000000092,321.62
131,1969.83333333426,322.69
132,1969.9166666676,323.95
133,1970,324.89
134,1970.08333333428,325.82
135,1970.16666666762,326.77
136,1970.25000000096,327.97
137,1970.3333333343,327.91
138,1970.41666666764,327.5
139,1970.50000000098,326.18
140,1970.58333333433,324.53
141,1970.66666666767,322.93
142,1970.75000000101,322.9
143,1970.83333333435,323.85
144,1970.91666666769,324.96
145,1971,326.01
146,1971.08333333437,326.51
147,1971.16666666771,327.01
148,1971.25000000105,327.62
149,1971.33333333439,328.76
150,1971.41666666773,328.4
151,1971.50000000107,327.2
152,1971.58333333441,325.27
153,1971.66666666775,323.2
154,1971.75000000109,323.4
155,1971.83333333443,324.63
156,1971.91666666777,325.85
157,1972,326.6
158,1972.08333333445,327.47
159,1972.16666666779,327.58
160,1972.25000000113,329.56
161,1972.33333333448,329.9
162,1972.41666666782,328.92
163,1972.50000000116,327.88
164,1972.5833333345,326.16
165,1972.66666666784,324.68
166,1972.75000000118,325.04
167,1972.83333333452,326.34
168,1972.91666666786,327.39
169,1973,328.37
170,1973.08333333454,329.4
171,1973.16666666788,330.14
172,1973.25000000122,331.33
173,1973.33333333456,332.31
174,1973.4166666679,331.9
175,1973.50000000124,330.7
176,1973.58333333458,329.15
177,1973.66666666792,327.35
178,1973.75000000126,327.02
179,1973.8333333346,327.99
180,1973.91666666794,328.48
181,1974,329.18
182,1974.08333333463,330.55
183,1974.16666666797,331.32
184,1974.25000000131,332.48
185,1974.33333333465,332.92
186,1974.41666666799,332.08
187,1974.50000000133,331.01
188,1974.58333333467,329.23
189,1974.66666666801,327.27
190,1974.75000000135,327.21
191,1974.83333333469,328.29
192,1974.91666666803,329.41
193,1975,330.23
194,1975.08333333471,331.25
195,1975.16666666805,331.87
196,1975.25000000139,333.14
197,1975.33333333473,333.8
198,1975.41666666807,333.43
199,1975.50000000141,331.73
200,1975.58333333475,329.9
201,1975.66666666809,328.4
202,1975.75000000143,328.17
203,1975.83333333478,329.32
204,1975.91666666812,330.59
205,1976,331.58
206,1976.0833333348,332.39
207,1976.16666666814,333.33
208,1976.25000000148,334.41
209,1976.33333333482,334.71
210,1976.41666666816,334.17
211,1976.5000000015,332.89
212,1976.58333333484,330.77
213,1976.66666666818,329.14
214,1976.75000000152,328.78
215,1976.83333333486,330.14
216,1976.9166666682,331.52
217,1977,332.75
218,1977.08333333488,333.24
219,1977.16666666822,334.53
220,1977.25000000156,335.9
221,1977.3333333349,336.57
222,1977.41666666824,336.1
223,1977.50000000158,334.76
224,1977.58333333493,332.59
225,1977.66666666827,331.42
226,1977.75000000161,330.98
227,1977.83333333495,332.24
228,1977.91666666829,333.68
229,1978,334.8
230,1978.08333333497,335.22
231,1978.16666666831,336.47
232,1978.25000000165,337.59
233,1978.33333333499,337.84
234,1978.41666666833,337.72
235,1978.50000000167,336.37
236,1978.58333333501,334.51
237,1978.66666666835,332.6
238,1978.75000000169,332.38
239,1978.83333333503,333.75
240,1978.91666666837,334.78
241,1979,336.05
242,1979.08333333505,336.59
243,1979.16666666839,337.79
244,1979.25000000173,338.71
245,1979.33333333507,339.3
246,1979.41666666842,339.12
247,1979.50000000176,337.56
248,1979.5833333351,335.92
249,1979.66666666844,333.75
250,1979.75000000178,333.7
251,1979.83333333512,335.12
252,1979.91666666846,336.56
253,1980,337.84
254,1980.08333333514,338.19
255,1980.16666666848,339.91
256,1980.25000000182,340.6
257,1980.33333333516,341.29
258,1980.4166666685,341
259,1980.50000000184,339.39
260,1980.58333333518,337.43
261,1980.66666666852,335.72
262,19
